"latitude","longitude"
38.086159,-120.246788
38.08522,-120.241898
37.453686,-121.931419
37.738724,-122.39299
38.003986,-121.934097
37.947979,-122.400803
38.071133,-122.138702
37.943108,-122.392738
38.013992,-122.111938
38.022812,-122.061966
38.018482,-122.238419
37.755001,-121.662018
37.881237,-121.186363
37.943882,-122.397232
37.316063,-122.091957
38.08263,-120.247787
38.514503,-121.193741
38.081699,-120.242912
38.160011,-122.566818
35.042503,-119.001228
33.817989,-118.246132
34.620491,-117.102295
34.353252,-116.854317
34.154316,-118.191956
34.090683,-117.529755
33.776539,-118.236244
34.095882,-117.531792
34.091789,-117.534798
33.775532,-118.231575
34.091576,-117.533119
34.034367,-118.105461
34.094994,-117.528435
33.804489,-118.245407
34.336124,-118.521133
34.243805,-118.382492
33.613552,-117.822296
33.854828,-118.333626
34.092712,-117.538147
36.177448,-119.088226
36.1763,-119.08947
36.603779,-119.592651
33.434643,-117.488228
36.178074,-119.08976
36.468746,-119.792023
36.469215,-119.786682
36.6008,-119.596558
37.378616,-119.565414
38.999908,-121.459709
39.467377,-122.669952
39.346367,-121.63163
40.737293,-122.324989
37.31715,-122.09137
38.020618,-122.238922
37.755596,-121.658333
37.944283,-122.397141
37.455048,-121.932495
38.005436,-121.935013
37.882004,-121.1866
37.183834,-121.680992
38.513939,-121.19194
38.071587,-122.138397
36.643719,-120.46067
36.640415,-120.461441
38.014565,-122.110901
36.83519,-120.074791
36.835846,-120.079086
36.831894,-120.075569
39.467884,-122.675964
39.470837,-122.670059
39.467262,-122.670815
36.468697,-119.788544
33.613274,-117.82489
34.104786,-118.478035
33.82048,-118.242912
34.6222,-117.100479
34.079197,-117.500534
34.333809,-118.520531
33.612473,-117.820435
33.90546,-118.404854
34.318123,-118.51075
32.598156,-117.011711
34.03569,-118.105186
34.143093,-117.428833
33.714233,-117.71257
34.091949,-117.531097
34.607086,-117.336746
33.776096,-118.229698
33.777645,-118.238541
34.095402,-117.53019
33.793892,-117.473145
34.15329,-118.194046
33.853741,-118.331009
34.290417,-118.802452
34.429474,-118.646095
34.980831,-119.892975
34.039036,-117.823578
35.345142,-118.75795
33.817093,-118.243767
34.35358,-116.853188
34.242519,-118.381805
33.545414,-117.74556
34.01704,-117.373672
33.549759,-117.740662
33.550385,-117.735344
33.552822,-117.746658
33.394478,-117.494392
33.390751,-117.493759
33.387009,-117.493202
33.546066,-117.740005
35.041847,-118.970215
35.041241,-118.975121
39.072304,-123.30426
38.023148,-122.063499
37.881573,-121.184875
37.942051,-122.393494
37.184185,-121.681114
38.013741,-122.112961
34.11512,-117.924637
34.243027,-118.379242
34.154503,-118.194946
34.15239,-118.192787
34.622173,-117.101227
33.778183,-118.238487
34.607552,-117.336929
34.094082,-117.528824
34.142281,-117.429321
33.793205,-117.473328
33.776951,-118.229507
33.612785,-117.82325
33.82122,-118.243797
34.035347,-118.103531
34.034794,-118.105934
33.817791,-118.244484
34.429249,-118.643501
34.42971,-118.645973
33.853031,-118.331772
34.319027,-118.513031
33.715233,-117.710716
34.334152,-118.519463
34.041187,-117.821106
34.149036,-118.723373
35.042259,-118.972389
35.931236,-119.175751
34.291912,-118.801155
33.481663,-117.321487
33.478374,-117.320793
37.455395,-121.932991
37.457329,-121.933258
37.947937,-122.401649
37.88327,-121.186684
38.024902,-122.066406
34.290474,-118.803284
37.316181,-122.092255
34.336662,-118.518234
34.607121,-117.336273
33.792976,-117.473351
34.620216,-117.099266
34.318016,-118.510941
38.020973,-122.062706
38.02021,-122.236069
38.022869,-122.060738
35.92654,-121.246445
35.922192,-121.245026
35.925385,-121.251556
35.923378,-121.239792
35.927723,-121.241188
37.079441,-120.326637
36.838242,-119.9702
34.537891,-118.29039
34.536716,-118.296349
34.535477,-118.302658
34.541706,-118.291649
34.538918,-118.286446
34.537743,-118.292213
34.536522,-118.298195
34.542751,-118.287567
34.541553,-118.293495
34.539066,-118.305717
34.5466,-118.288673
34.545349,-118.29483
34.54678,-118.307838
39.363663,-121.633934
39.364738,-121.629097
38.241535,-120.098045
38.244038,-120.097061
39.726334,-122.235878
41.654457,-121.626999
41.658272,-121.628761
39.360512,-121.633453
41.650265,-122.987251
